male_ID,num_notes,num_notetype,song_length,pfcmax,pfcmin,bandwidth
KMGS,8,2,0.4982,5437.5,2156.25,3281.25
KMGS,8,2,0.4996,5437.5,2250,3187.5
KMGS,1,1,0.2513,5343.75,4218.75,1125
KMGS,1,1,0.1912,5156.25,3843.75,1312.5
KMGS,1,1,0.2101,7781.25,3187.5,4593.75
KMGS,1,1,0.2822,7218.75,3468.75,3750
KMGS,8,3,0.7674,6281.25,2062.5,4218.75
KMGS,6,4,0.7142,6187.5,2062.5,4125
KMGS,9,4,1.0506,8343.75,2625,5718.75
KMGS,8,4,1.0623,7875,1968.75,5906.25
KMGS,9,4,0.9548,8343.75,2625,5718.75
KMGS,4,2,0.4664,7312.5,2625,4687.5
KMGS,9,4,1.0045,8156.25,2718.75,5437.5
KMGS,7,3,0.5184,7031.25,2718.75,4312.5
KMGS,7,4,0.7775,5625,2437.5,3187.5
KMGS,5,3,0.5429,5531.25,2718.75,2812.5
KMGS,5,2,0.5796,5812.5,2531.25,3281.25
KMGS,5,2,0.5345,5625,2531.25,3093.75
KMGS,7,3,0.6683,6656.25,3000,3656.25
KMGS,7,3,0.683,6937.5,3000,3937.5
KMGS,5,4,0.6665,5625,2625,3000
KMGS,10,4,0.9692,6093.75,2343.75,3750
MWYS,4,2,0.3688,6000,2156.25,3843.75
MWYS,4,2,0.3937,6187.5,3000,3187.5
MWYS,3,1,0.2199,4875,2718.75,2156.25
MWYS,9,5,0.9487,5718.75,2156.25,3562.5
MWYS,9,5,0.9269,6000,2250,3750
MWYS,5,2,0.5249,5531.25,2437.5,3093.75
MWYS,5,2,0.5317,5531.25,2437.5,3093.75
MWYS,5,2,0.5182,5437.5,2437.5,3000
MWYS,5,2,0.5158,5437.5,2437.5,3000
MWYS,4,1,0.2495,5531.25,2062.5,3468.75
MWYS,5,2,0.5167,5437.5,2437.5,3000
MWYS,5,2,0.532,5531.25,2437.5,3093.75
MWYS,6,3,0.6033,5625,2343.75,3281.25
MWYS,5,2,0.4815,5531.25,2625,2906.25
MWYS,5,2,0.5064,5625,2437.5,3187.5
MWYS,5,2,0.5243,5531.25,2343.75,3187.5
MWYS,5,2,0.4686,5718.75,2625,3093.75
MWYS,5,2,0.4876,5343.75,2625,2718.75
MWYS,5,2,0.5022,5343.75,2437.5,2906.25
MWYS,5,2,0.491,5437.5,2531.25,2906.25
MWYS,5,2,0.5048,5343.75,2437.5,2906.25
MWYS,5,2,0.5236,5531.25,2437.5,3093.75
MWYS,5,2,0.5183,5625,2437.5,3187.5
MWYS,5,2,0.537,4781.25,2437.5,2343.75
MWYS,5,2,0.4976,5343.75,2437.5,2906.25
MWYS,5,2,0.539,5531.25,2437.5,3093.75
MWYS,5,2,0.517,5812.5,2343.75,3468.75
MWYS,5,2,0.5475,5812.5,2437.5,3375
MWYS,5,5,0.8489,7593.75,2062.5,5531.25
MWYS,11,6,1.3737,6000,2250,3750
MWYS,6,3,0.6268,6375,2531.25,3843.75
MWYS,11,6,1.362,6468.75,2156.25,4312.5
MWYS,11,6,1.3877,6093.75,2156.25,3937.5
MWYS,11,6,1.2733,6093.75,2250,3843.75
MWYS,8,3,0.6297,6187.5,2156.25,4031.25
MWYS,11,4,0.6136,5625,2156.25,3468.75
MWYS,10,4,1.0011,6281.25,3093.75,3187.5
MWYS,2,2,0.5898,6000,2812.5,3187.5
MWYS,5,2,0.4892,5906.25,2062.5,3843.75
MWYS,17,4,0.9513,5812.5,2531.25,3281.25
MWYS,13,3,0.708,5718.75,2250,3468.75
MWYS,5,1,0.1818,5625,2812.5,2812.5
MWYS,4,2,0.4818,5625,3562.5,2062.5
MWYS,4,2,0.4747,5343.75,3562.5,1781.25
MWYS,4,2,0.4962,4781.25,3468.75,1312.5
MWYS,4,2,0.5069,4781.25,2531.25,2250
MWYS,4,2,0.5152,7031.25,3562.5,3468.75
MWYS,4,3,0.6075,5718.75,2250,3468.75
MWYS,4,3,0.6263,5718.75,2437.5,3281.25
MWYS,4,3,0.6372,5718.75,2343.75,3375
OGBS,6,3,0.4596,5437.5,2156.25,3281.25
OGBS,6,3,0.4574,5812.5,2531.25,3281.25
OGBS,6,3,0.4562,5718.75,2250,3468.75
OGBS,6,3,0.4549,5718.75,2343.75,3375
OGBS,6,3,0.3648,5531.25,2250,3281.25
OGBS,6,3,0.4483,5718.75,2437.5,3281.25
OGBS,6,3,0.3873,5625,2062.5,3562.5
OGBS,6,3,0.447,5531.25,2343.75,3187.5
OGBS,3,2,0.3064,6656.25,2718.75,3937.5
OGBS,3,2,0.3438,6937.5,2718.75,4218.75
OGBS,3,2,0.3414,7125,2343.75,4781.25
OGBS,3,2,0.3424,6843.75,2625,4218.75
OGBS,11,6,1.0253,8437.5,2250,6187.5
OGBS,12,6,1.0102,7031.25,2250,4781.25
OGBS,11,6,0.9846,8906.25,2156.25,6750
OGBS,12,6,1.0087,8437.5,2156.25,6281.25
OGBS,12,6,1.0243,7781.25,2343.75,5437.5
OGBS,3,3,0.6847,6375,2250,4125
OGBS,2,2,0.3402,6187.5,3375,2812.5
OGBS,3,3,0.687,6656.25,2062.5,4593.75
OGBS,3,3,0.5617,6281.25,2343.75,3937.5
OGBS,2,2,0.3101,7406.25,3656.25,3750
OGBS,5,3,0.4482,7031.25,2437.5,4593.75
OGBS,5,3,0.4779,6468.75,2343.75,4125
OGBS,5,3,0.4682,7500,2250,5250
OGBS,5,3,0.4714,7125,2250,4875
OGBS,5,2,0.4084,5906.25,2156.25,3750
OGBS,4,2,0.4287,6562.5,2156.25,4406.25
OGBS,3,2,0.3362,5343.75,2531.25,2812.5
OGBS,3,2,0.3446,5343.75,2437.5,2906.25
OGBS,3,2,0.3678,5437.5,2343.75,3093.75
OGBS,4,2,0.3329,7406.25,2250,5156.25
OGBS,4,2,0.372,6937.5,2531.25,4406.25
OGBS,6,3,0.6484,5625,2437.5,3187.5
OGBS,5,2,0.5229,6468.75,2062.5,4406.25
OGBS,5,4,0.4599,6750,2062.5,4687.5
OGBS,4,4,0.4141,6093.75,2156.25,3937.5
OGBS,5,4,0.4744,6937.5,2156.25,4781.25
OGBS,5,4,0.4609,6750,2062.5,4687.5
OGBS,5,3,0.4968,5812.5,1968.75,3843.75
OGBS,4,3,0.5113,6468.75,2531.25,3937.5
OGBS,4,3,0.5451,6375,3000,3375
OGBS,4,3,0.5262,6187.5,2906.25,3281.25
OGBS,4,3,0.4959,6375,2718.75,3656.25
OGBS,4,3,0.5118,6468.75,2343.75,4125
OGBS,5,3,0.515,5625,2343.75,3281.25
OGBS,6,3,0.5946,4968.75,2625,2343.75
OGBS,5,3,0.5147,5343.75,2531.25,2812.5
OGBS,5,3,0.5357,5343.75,2531.25,2812.5
OGBS,4,2,0.8695,6562.5,2250,4312.5
OSYR,15,8,1.8252,7031.25,2437.5,4593.75
OSYR,11,7,2.1035,7406.25,2062.5,5343.75
OSYR,7,3,0.5004,5531.25,2625,2906.25
OSYR,8,3,0.5566,5156.25,2250,2906.25
